customer_id,company_name,industry,employee_size,signup_date,sales_rep,acquisition_channel,country,lifetime_value
CUST_00001,Nova Technologies,Finance,1-10,2022-01-10,Rep_14,LinkedIn Ads,USA,136993.75
CUST_00002,Nimbus Labs,Retail,201-1000,2022-07-23,Rep_8,Paid Search,India,196685.0
CUST_00003,Quantum Systems,EdTech,11-50,2023-11-01,Rep_3,Paid Search,USA,100000.0
CUST_00004,Helix Technologies,Finance,11-50,2023-11-11,Rep_3,Partner,India,250692.5
CUST_00005,Apex Solutions,EdTech,201-1000,2024-04-16,Rep_13,Partner,USA,373881.25
CUST_00006,Vertex Cloud,Manufacturing,51-200,2023-04-19,Rep_14,Partner,India,3229.67
CUST_00007,Pulse Analytics,Retail,1000+,2022-05-01,Rep_11,Partner,India,3458.33
CUST_00008,Summit Systems,Finance,1-10,2022-12-01,Rep_9,Paid Search,UK,1666.67
CUST_00009,Quantum AI,Manufacturing,1-10,2024-08-20,Rep_11,LinkedIn Ads,Germany,19965.56
CUST_00010,Helix Technologies,Healthcare,11-50,2023-01-25,Rep_1,Paid Search,Germany,1666.67
CUST_00011,Apex Solutions,Manufacturing,1-10,2022-12-04,Rep_8,Partner,USA,1666.67
CUST_00012,Pulse Cloud,Healthcare,11-50,2024-08-25,Rep_3,Paid Search,USA,4231.67
CUST_00013,Nova Software,SaaS,11-50,2022-04-05,Rep_14,LinkedIn Ads,USA,1666.67
CUST_00014,Quantum AI,Finance,1-10,2023-10-11,Rep_11,Paid Search,India,242415.0
CUST_00015,Apex AI,Healthcare,201-1000,2022-01-20,Rep_8,Paid Search,Australia,3269.33
CUST_00016,Summit Technologies,Healthcare,201-1000,2022-12-10,Rep_2,Paid Search,USA,17193.33
CUST_00017,Helix Analytics,EdTech,51-200,2023-03-27,Rep_8,Partner,USA,11111.11
CUST_00018,Zenith Labs,Finance,1000+,2023-01-21,Rep_14,Paid Search,India,100000.0
CUST_00019,Helix Cloud,Retail,51-200,2024-11-25,Rep_15,Partner,USA,100000.0
CUST_00020,Nova AI,EdTech,201-1000,2022-01-13,Rep_8,Paid Search,India,3777.33
CUST_00021,Summit Labs,Finance,11-50,2022-11-17,Rep_13,Paid Search,USA,1666.67
CUST_00022,Apex Technologies,EdTech,51-200,2023-02-06,Rep_9,Organic,Germany,349650.0
CUST_00023,Vertex Analytics,EdTech,51-200,2023-10-14,Rep_6,Organic,UK,19414.44
CUST_00024,Vertex Analytics,Finance,11-50,2023-11-24,Rep_5,Paid Search,Australia,2638.33
CUST_00025,Nimbus Technologies,Healthcare,11-50,2023-02-25,Rep_2,Paid Search,USA,11111.11
CUST_00026,Pulse Systems,Finance,11-50,2023-10-15,Rep_11,Paid Search,India,1666.67
CUST_00027,Zenith Solutions,Finance,11-50,2022-10-16,Rep_11,Paid Search,Germany,4213.0
CUST_00028,Orion Technologies,Retail,11-50,2022-12-03,Rep_12,Paid Search,UK,5433.0
CUST_00029,Pulse Cloud,Retail,11-50,2023-01-20,Rep_5,Organic,India,3125.67
CUST_00030,Apex Solutions,Finance,11-50,2023-11-20,Rep_11,LinkedIn Ads,Canada,4022.67
CUST_00031,Nova Cloud,Healthcare,11-50,2022-10-08,Rep_7,Paid Search,USA,1666.67
CUST_00032,Nimbus AI,SaaS,1000+,2024-10-08,Rep_9,Partner,USA,11285.0
CUST_00033,Summit Systems,Retail,1-10,2022-12-10,Rep_6,Organic,India,4053.0
CUST_00034,Pulse Analytics,EdTech,1-10,2024-03-06,Rep_10,Partner,Germany,5944.33
CUST_00035,Nova AI,Finance,51-200,2022-01-20,Rep_4,LinkedIn Ads,UK,100000.0
CUST_00036,Orion Analytics,SaaS,1000+,2023-12-25,Rep_7,Paid Search,USA,1666.67
CUST_00037,Zenith Systems,Retail,51-200,2022-04-16,Rep_5,Referral,India,25167.22
CUST_00038,Pulse Analytics,EdTech,51-200,2022-12-01,Rep_9,LinkedIn Ads,Germany,11111.11
