event_id,customer_id,event_date,event_type,old_mrr,new_mrr,delta_mrr
1,CUST_00001,2022-01-10,new,0.0,1936.6,1936.6
2,CUST_00001,2022-08-01,contraction,1936.6,1578.76,-357.8399999999999
3,CUST_00001,2022-09-01,contraction,1578.76,1301.09,-277.6700000000001
4,CUST_00001,2023-11-01,contraction,1301.09,1166.84,-134.25
5,CUST_00001,2024-02-01,contraction,1166.84,1095.95,-70.88999999999987
6,CUST_00002,2022-07-23,new,0.0,1924.95,1924.95
7,CUST_00002,2024-10-01,contraction,1924.95,1573.48,-351.47
8,CUST_00003,2023-11-01,new,0.0,390.53,390.53
9,CUST_00003,2024-01-01,expansion,390.53,524.37,133.84000000000003
10,CUST_00004,2023-11-11,new,0.0,2005.54,2005.54
11,CUST_00005,2024-04-16,new,0.0,2991.05,2991.05
12,CUST_00006,2023-04-19,new,0.0,83.03,83.03
13,CUST_00006,2023-10-01,contraction,83.03,78.5,-4.530000000000001
14,CUST_00006,2024-04-01,expansion,78.5,96.89,18.39
15,CUST_00007,2022-05-01,new,0.0,109.41,109.41
16,CUST_00007,2022-07-01,contraction,109.41,88.76,-20.64999999999999
17,CUST_00007,2023-04-01,contraction,88.76,77.64,-11.120000000000005
18,CUST_00007,2024-06-01,expansion,77.64,103.75,26.11
19,CUST_00008,2022-12-01,new,0.0,100.34,100.34
20,CUST_00008,2023-02-01,churn,100.34,0.0,-100.34
21,CUST_00009,2024-08-20,new,0.0,359.38,359.38
22,CUST_00010,2023-01-25,new,0.0,108.42,108.42
23,CUST_00010,2023-05-01,churn,108.42,0.0,-108.42
24,CUST_00011,2022-12-04,new,0.0,139.68,139.68
25,CUST_00011,2023-02-01,churn,139.68,0.0,-139.68
26,CUST_00012,2024-08-25,new,0.0,126.95,126.95
27,CUST_00013,2022-04-05,new,0.0,91.18,91.18
28,CUST_00013,2024-07-01,churn,91.18,0.0,-91.18
29,CUST_00014,2023-10-11,new,0.0,2083.46,2083.46
30,CUST_00014,2023-12-01,contraction,2083.46,1939.32,-144.1400000000001
31,CUST_00015,2022-01-20,new,0.0,98.08,98.08
32,CUST_00016,2022-12-10,new,0.0,327.56,327.56
33,CUST_00016,2023-04-01,contraction,327.56,306.97,-20.589999999999975
34,CUST_00016,2023-08-01,contraction,306.97,251.88,-55.09000000000003
35,CUST_00016,2024-07-01,expansion,251.88,309.48,57.60000000000002
36,CUST_00017,2023-03-27,new,0.0,356.39,356.39
37,CUST_00017,2024-02-01,expansion,356.39,458.51,102.12
38,CUST_00017,2024-09-01,contraction,458.51,379.56,-78.94999999999999
39,CUST_00017,2024-10-01,churn,379.56,0.0,-379.56
40,CUST_00018,2023-01-21,new,0.0,325.33,325.33
41,CUST_00018,2023-01-01,contraction,325.33,283.07,-42.25999999999999
42,CUST_00018,2024-02-01,expansion,283.07,358.15,75.07999999999998
43,CUST_00019,2024-11-25,new,0.0,365.26,365.26
44,CUST_00019,2024-11-01,expansion,365.26,496.28,131.01999999999998
45,CUST_00020,2022-01-13,new,0.0,116.21,116.21
46,CUST_00020,2022-12-01,contraction,116.21,97.97,-18.239999999999995
47,CUST_00020,2024-03-01,expansion,97.97,113.32,15.349999999999994
48,CUST_00021,2022-11-17,new,0.0,104.32,104.32
49,CUST_00021,2023-10-01,churn,104.32,0.0,-104.32
50,CUST_00022,2023-02-06,new,0.0,2797.2,2797.2
51,CUST_00023,2023-10-14,new,0.0,349.46,349.46
52,CUST_00024,2023-11-24,new,0.0,89.11,89.11
53,CUST_00024,2023-11-01,contraction,89.11,79.15,-9.959999999999994
